Percent,NDMI,Dist_roads,Elevation,TCWcv,SnowDepth,SnowDepth_cv,MAT,MATcv,MAP,MAPcv,Slope,NDWIcv,LSWIcv
40,-0.020425176,1470,1119.1298,-0.281734136,0.06318889,1.632169182,5.7231868,1.9952853,514.5800016,0.007053523,4.840452,0.762811195,18.84816641
55,-0.013754457,1500,1118.3481,-0.271744589,0.06318889,1.632169182,5.7231868,1.9952853,514.5800016,0.007053523,4.363815,0.670014569,18.84816641
5,-0.016655562,300,1005.9103,-0.176889927,0.012244444,2.01471449,9.79932675,1.161058531,446.6000017,0.009557697,11.68218,0.349099366,18.63467646
5.74,0.08225878,993.1767,744.5967,-1.196515489,0.3389,0.765890315,7.6638048,12.0359799,498.1899971,0.007181983,0.67031115,0.38616451,18.08663118
40,-0.04359798,2616.1995,1122.8224,-0.196791207,0.06695555,1.657152193,5.71375,1.998636816,513.7900005,0.007126786,0.5592488,0.562172545,18.00129494
1,-0.021967527,2334.6091,810.70074,-0.785730638,0.1405055,0.528123515,5.899013885,1.878379465,543.8999999,0.007028348,0.8076283,0.443213978,3.957657459
1,-0.021967527,2334.6091,810.70074,-0.785730638,0.1405055,0.528123515,5.899013885,1.878379465,543.8999999,0.007028348,0.8076283,0.443213978,3.957657459
60.295,-0.0249656,60,957.8144,-0.250610647,0.022333333,1.399328375,8.74769245,1.219789942,863.2600005,0.008289549,10.642773,0.68480678,17.79479479
66.7478,-0.019354839,60,959.2617,-0.263472932,0.022333333,1.399328375,8.74769245,1.219789942,863.2600005,0.008289549,11.021529,0.651312189,17.79479479
46.6587,-0.01657243,60,958.7773,-0.245332384,0.022333333,1.399328375,8.74769245,1.219789942,863.2600005,0.008289549,14.108241,0.61996188,17.79479479
40.1953,-0.0249656,60,960.9982,-0.247983591,0.022333333,1.399328375,8.74769245,1.219789942,863.2600005,0.008289549,5.53558,0.624522632,17.79479479
85,-0.029045643,417.85165,1145.0634,-0.27223503,0.062288888,1.621311433,5.6392997,2.017708302,532.2700031,0.006833568,1.9533466,0.725316366,17.7480319
65,-0.021617683,1080.4166,1108.4598,-0.312502899,0.0651,1.648169851,5.7231868,1.9952853,514.5800016,0.007053523,1.5395658,0.706024674,17.70275923
55,0.03084577,182.48288,1141.8518,-0.223786279,0.061788887,1.625387807,5.69973905,1.992942396,504.2300006,0.007529457,1.0860684,0.455249016,17.02504242
20,-0.02433748,3293.5847,994.41815,-0.123209029,0.037033334,1.040135296,6.06704675,1.917520722,686.9399969,0.007067416,1.4758332,0.730478789,16.8798646
3.96039604,-0.13452914,305.94116,749.55963,-0.18943723,0.05331111,0.918467697,7.3509203,1.698734305,128.4799989,0.011740271,4.5309553,2.318258688,16.78649892
26.66666667,-0.06377551,1235.8398,1085.1079,-0.213018262,0.007373626,2.125253202,8.02991792,1.255781626,396.6300003,0.008662379,2.8268583,0.625664071,16.59602274
87.2553,-0.008801095,108.16654,970.612,-0.192525671,0.025055556,1.626005397,8.7880629,1.21335281,855.4800043,0.008425444,11.24744,0.317362096,15.86584112
64.6587,-0.008801095,123.69317,970.4799,-0.192525671,0.025055556,1.626005397,8.7880629,1.21335281,855.4800043,0.008425444,12.2571945,0.317362096,15.86584112
11.9447,-0.017557703,84.85281,972.743,-0.199834707,0.025055556,1.626005397,8.7880629,1.21335281,855.4800043,0.008425444,10.846371,0.376597452,15.86584112
55,0.018245768,977.1898,1101.7747,-0.261877995,0.0651,1.648169851,5.76881875,1.98417869,507.6400001,0.007135265,1.2684519,0.528134443,15.84616187
11,-0.042825457,913.89276,840.9426,-0.337894211,0.075,0.98160061,7.97465667,12.2699884,957.0299979,0.004539245,4.2251596,0.448289861,15.63765233
85,0.040623717,502.89163,1153.3617,-0.245120439,0.06007778,1.625924533,5.59499985,2.024810702,517.7199988,0.00723249,6.445465,0.569018711,15.57689903
0.5,-0.054713495,201.24612,539.83075,-0.589037676,0.06655555,0.711171655,5.33605765,13.25049017,932.1599988,0.00481228,4.0717425,0.164549973,14.19450357
2,-0.054713495,201.24612,539.83075,-0.589037676,0.06655555,0.711171655,5.33605765,13.25049017,932.1599988,0.00481228,4.0717425,0.164549973,14.19450357
20,0.015512344,2376.8257,1114.2343,-0.362703223,0.06542222,1.679991115,5.7265247,1.99320067,513.270001,0.00709913,0.81822634,0.495638125,13.62566695
75,0.022771632,2379.2856,1114.1206,-0.367391124,0.06542222,1.679991115,5.7265247,1.99320067,513.270001,0.00709913,1.0252024,0.544719707,13.62566695
0.13995,-0.029797377,169.70563,969.51196,-0.176627147,0.032277778,1.379467769,8.23795325,1.313134211,521.540004,0.008897469,0.6478016,0.467256925,13.29848078
4.03725,-0.016072128,169.7056,969.788,-0.179413932,0.032277778,1.379467769,8.23795325,1.313134211,521.540004,0.008897469,1.551216,0.447538919,13.29848078
1.53633,-0.024505928,169.70563,969.5251,-0.172233641,0.032277778,1.379467769,8.23795325,1.313134211,521.540004,0.008897469,0.6142714,0.466385898,13.29848078
3.82341,-0.018467583,189.73666,969.53094,-0.180890003,0.032277778,1.379467769,8.23795325,1.313134211,521.540004,0.008897469,1.4722577,0.447481038,13.29848078
